PL,SKU,CATEGORY,SUB_CATEGORY
DELL0X_PC_Laptop,0X749QB,PC,Laptop
DELL75_PC_Monitor,75X62BB,PC,Monitor
DELLDF_SUP_TON,DF627B,SUP,Toner
HP4Z_PH_LJ,4ZB96A,PH,Laserjet
DELL0R_PC_Laptop,0R0N0QB,PC,Laptop
DELL7L_PH_IJ,7LE37B,PH,Inkjet
DELL89_PC_Desktop,89Z55QB,PC,Desktop
HP8C_PC_Laptop,8C4R9PA,PC,Laptop
DELLG0_SUP_INK,G0L15B,SUP,Ink
DELLDF_SUP_TON,DF853B,SUP,Toner
HPCN_SUP_INK,CN045AA,SUP,Ink
HPC2_SUP_INK,C2P23AA,SUP,Ink
HPC2_SUP_INK,C2P21AA,SUP,Ink
DELL4F_SUP_INK,4FE79B,SUP,Ink
DELLDG_SUP_TON,DG460B,SUP,Toner
HP8F_PC_Laptop,8F6C9PA,PC,Laptop
HP4K_SUP_INK,4K0V9PA,SUP,Ink
HP8F_PC_Laptop,8F8Z8PA,PC,Laptop
HPT8_PH_IJ,T8W15A,PH,Inkjet
HP7N_PC_Desktop,7N6V0PA,PC,Desktop
HP7W_PC_Laptop,7W475PA,PC,Laptop
HP88_PC_Desktop,889G9PA,PC,Desktop
HP9E_PC_Laptop,9E3Q6PA,PC,Laptop
HP3E_SUP_INK,3ED28A,SUP,Ink
HP8L_PC_Laptop,8L147PA,PC,Laptop
DELL6S_PC_Monitor,6SE77BB,PC,Monitor
HP9D_PC_Laptop,9D3N8PA,PC,Laptop
DELL4Z_SUP_INK,4ZQ28BB,SUP,Ink
DELL4Z_SUP_INK,4ZN88BB,SUP,Ink
DELL7M_PC_Laptop,7M9Q1FD,PC,Laptop
DELLDG_SUP_TON,DG514Y,SUP,Toner
DELLDE_SUP_INK,DE083BB,SUP,Ink
DELL4K_SUP_INK,4KB89BB,SUP,Ink
DELL7Y_PC_Desktop,7Y4R5QB,PC,Desktop
HP8H_PC_Laptop,8H5D4PA,PC,Laptop
DELLA8_SUP_TON,A8Z92B,SUP,Toner
HPW1_SUP_TON,W1370X,SUP,Toner
DELL0F_PC_Laptop,0F4K7QB,PC,Laptop
HP9D_PC_Laptop,9D3N3PA,PC,Laptop
DELL9M_PC_Laptop,9M271QB,PC,Laptop
HP64_PC_Monitor,64W41AA,PC,Monitor
DELL7I_PC_Desktop,7I2Y3QB,PC,Desktop
DELLDG_SUP_TON,DG321Y,SUP,Toner
DELL4X_SUP_INK,4XY11B,SUP,Ink
HPCZ_SUP_INK,CZ124AA,SUP,Ink
DELLC4_SUP_INK,C4Q17B,SUP,Ink
DELL4X_SUP_INK,4XY20B,SUP,Ink
HP6D_PC_Monitor,6D8G9A6,PC,Monitor
DELL9M_PC_Laptop,9M266QB,PC,Laptop
HPCF_SUP_TON,CF210A,SUP,Toner
HP67_SUP_INK,676M8A,SUP,Ink
DELLDO_SUP_INK,DO745B,SUP,Ink
DELL7Y_PC_Desktop,7Y4T6QB,PC,Desktop
HP58_PH_IJ,588J8B,PH,Inkjet
HPCE_SUP_TON,CE980A,SUP,Toner
DELLDE_SUP_INK,DE086BB,SUP,Ink
DELL4Z_SUP_INK,4ZN31BB,SUP,Ink
HP9J_PC_Laptop,9J6K8PA,PC,Laptop
DELL4Z_SUP_INK,4ZN28BB,SUP,Ink
HP4K_SUP_INK,4K0V8PA,SUP,Ink
DELL78_PC_Laptop,78W61QB,PC,Laptop
DELL4Z_SUP_INK,4ZQ04BB,SUP,Ink
